cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url
cord-000010,,PMC,Vaccine Treatment Antibody Study,,,99379971.0,,Further research is needed to confirm these findings. The implications for public health are discussed. This study investigates COVID-19 related phenomena. We analyzed data from multiple sources.,2022-06-23,"Author 10, Co-Author 10",International Journal of Infectious Diseases,,,,,,https://example.com/paper/10
cord-000011,sha000011,bioRxiv,Covid-19 Coronavirus Study,10.1000/sample.11,PMC5714408,26521948.0,cc-by,This study investigates COVID-19 related phenomena. The implications for public health are discussed. We analyzed data from multiple sources.,2021-11-05,"Author 11, Co-Author 11",bioRxiv,,,2020.6757,,,https://example.com/paper/11
cord-000012,,bioRxiv,Symptoms Infection Study,10.1000/sample.12,PMC8215646,81745187.0,,Results show significant findings regarding SARS-CoV-2. Further research is needed to confirm these findings. The implications for public health are discussed. We analyzed data from multiple sources.,2020-10-27,"Author 12, Co-Author 12",Journal of Virology,8025397565.0,,,,,
cord-000013,,WHO,Covid-19 Antiviral Diagnosis Antibody Vaccine Study,,,76029590.0,cc-by-nc,We analyzed data from multiple sources. Results show significant findings regarding SARS-CoV-2.,2020-07-28,"Author 13, Co-Author 13",medRxiv,6325455222.0,,,,,
cord-000014,sha000014,PMC,Transmission Outbreak Diagnosis Clinical Sars-Cov-2 Study,10.1000/sample.14,PMC5425123,,,Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2.,2020-06-13,"Author 14, Co-Author 14",Journal of Medical Virology,,,,document_parses/pdf_json/14.json,document_parses/pmc_json/14.json,
cord-000015,sha000015,medRxiv,Treatment Therapy Study,,PMC8311097,40038761.0,cc-by,The implications for public health are discussed. Further research is needed to confirm these findings. This study investigates COVID-19 related phenomena.,2020-01-21,"Author 15, Co-Author 15",Antiviral Research,,,,,,https://example.com/paper/15
cord-000016,,Elsevier,Antiviral Therapy Infection Treatment Diagnosis Study,10.1000/sample.16,PMC6293931,90621827.0,cc-by,We analyzed data from multiple sources. Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2. The implications for public health are discussed.,2021-07-19,"Author 16, Co-Author 16",International Journal of Infectious Diseases,6983007405.0,WHO-8429,,,,https://example.com/paper/16
cord-000017,sha000017,medRxiv,Antibody Clinical Immunity Study,10.1000/sample.17,PMC9242223,,cc-by,,2020-10-12,"Author 17, Co-Author 17",New England Journal of Medicine,7454432847.0,,,,document_parses/pmc_json/17.json,
cord-000018,sha000018,medRxiv,Vaccine Immunity Pandemic Treatment Antiviral Study,,PMC3537801,61224263.0,no-cc,The implications for public health are discussed. This study investigates COVID-19 related phenomena.,2021-02-27,"Author 18, Co-Author 18",New England Journal of Medicine,5568050505.0,,,,,https://example.com/paper/18
cord-000019,,arXiv,Pandemic Symptoms Therapy Clinical Coronavirus Study,10.1000/sample.19,PMC8381800,85416933.0,cc-by-nc,Results show significant findings regarding SARS-CoV-2. We analyzed data from multiple sources.,2022-01-14,"Author 19, Co-Author 19",bioRxiv,,,,document_parses/pdf_json/19.json,,https://example.com/paper/19
cord-000020,sha000020,PMC,Sars-Cov-2 Diagnosis Study,10.1000/sample.20,,68648080.0,cc-by-nc,Further research is needed to confirm these findings. The implications for public health are discussed.,2020-05-05,"Author 20, Co-Author 20",PLOS ONE,,,,document_parses/pdf_json/20.json,document_parses/pmc_json/20.json,
cord-000021,sha000021,PMC,Prevention Transmission Treatment Clinical Antiviral Study,10.1000/sample.21,,40004485.0,cc-by-nc,Further research is needed to confirm these findings. The implications for public health are discussed.,2022-07-16,"Author 21, Co-Author 21",International Journal of Infectious Diseases,,,2020.2100,,document_parses/pmc_json/21.json,https://example.com/paper/21
cord-000022,sha000022,bioRxiv,Infection Treatment Antiviral Symptoms Study,10.1000/sample.22,,,cc-by,Results show significant findings regarding SARS-CoV-2. We analyzed data from multiple sources.,2020-09-24,"Author 22, Co-Author 22",Cell,,,,document_parses/pdf_json/22.json,,
cord-000023,,PubMed,Antiviral Diagnosis Clinical Covid-19 Sars-Cov-2 Study,10.1000/sample.23,,,cc-by,We analyzed data from multiple sources. Results show significant findings regarding SARS-CoV-2.,2021-11-17,"Author 23, Co-Author 23",PLOS ONE,,WHO-2987,,,,
cord-000024,sha000024,Elsevier,Epidemiology Therapy Transmission Pandemic Diagnosis Study,,,,no-cc,Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2. We analyzed data from multiple sources.,2020-04-16,"Author 24, Co-Author 24",The Lancet,4900941556.0,,,,,
cord-000025,sha000025,Elsevier,Sars-Cov-2 Clinical Diagnosis Transmission Study,10.1000/sample.25,PMC8322078,89483803.0,no-cc,Results show significant findings regarding SARS-CoV-2. We analyzed data from multiple sources. This study investigates COVID-19 related phenomena.,2021-07-20,"Author 25, Co-Author 25",BMJ,2467549493.0,,,document_parses/pdf_json/25.json,,
cord-000026,,bioRxiv,Diagnosis Covid-19 Pandemic Infection Coronavirus Study,10.1000/sample.26,,25583513.0,,We analyzed data from multiple sources. Results show significant findings regarding SARS-CoV-2.,2021-05-06,"Author 26, Co-Author 26",New England Journal of Medicine,3559562347.0,,,,,https://example.com/paper/26
cord-000027,,arXiv,Immunity Outbreak Clinical Covid-19 Study,10.1000/sample.27,PMC9303225,27101682.0,,This study investigates COVID-19 related phenomena. We analyzed data from multiple sources. Results show significant findings regarding SARS-CoV-2. The implications for public health are discussed.,2020-09-11,"Author 27, Co-Author 27",New England Journal of Medicine,,,,document_parses/pdf_json/27.json,,
cord-000028,sha000028,Elsevier,Sars-Cov-2 Infection Immunity Symptoms Vaccine Study,10.1000/sample.28,,61028923.0,no-cc,Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2. The implications for public health are discussed. We analyzed data from multiple sources.,2021-01-19,"Author 28, Co-Author 28",Nature,7767651174.0,WHO-2512,,document_parses/pdf_json/28.json,,https://example.com/paper/28
cord-000029,sha000029,PMC,Outbreak Epidemiology Study,10.1000/sample.29,,10225283.0,no-cc,We analyzed data from multiple sources. Further research is needed to confirm these findings.,2019-12-01,"Author 29, Co-Author 29",Cell,,,2020.3443,,document_parses/pmc_json/29.json,
cord-000030,sha000030,bioRxiv,Clinical Symptoms Pandemic Coronavirus Sars-Cov-2 Study,,PMC9140297,89196483.0,,,2022-07-21,"Author 30, Co-Author 30",,1780498020.0,,,document_parses/pdf_json/30.json,,
cord-000031,sha000031,bioRxiv,Immunity Antibody Clinical Outbreak Coronavirus Study,,PMC2887283,62096010.0,no-cc,We analyzed data from multiple sources. Further research is needed to confirm these findings.,2022-06-26,,Cell,2028769788.0,,2020.3735,,,https://example.com/paper/31
cord-000032,sha000032,arXiv,Epidemiology Outbreak Sars-Cov-2 Study,,PMC3483929,52901755.0,no-cc,Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena.,2021-09-09,"Author 32, Co-Author 32",Vaccine,,WHO-3275,,,,
cord-000033,sha000033,Elsevier,Sars-Cov-2 Vaccine Study,10.1000/sample.33,,26952687.0,,We analyzed data from multiple sources. The implications for public health are discussed.,2021-05-11,"Author 33, Co-Author 33",PLOS ONE,1587160112.0,,,,,
cord-000034,sha000034,arXiv,Antiviral Epidemiology Therapy Coronavirus Study,10.1000/sample.34,,90747752.0,cc-by,Results show significant findings regarding SARS-CoV-2. Further research is needed to confirm these findings. The implications for public health are discussed.,2021-07-11,"Author 34, Co-Author 34",Antiviral Research,,,,,,https://example.com/paper/34
cord-000035,sha000035,Elsevier,Antibody Clinical Treatment Study,,PMC4030887,24305720.0,no-cc,Further research is needed to confirm these findings. The implications for public health are discussed.,,,PLOS ONE,5240417482.0,,,document_parses/pdf_json/35.json,,https://example.com/paper/35
cord-000036,sha000036,bioRxiv,Diagnosis Antibody Antiviral Immunity Clinical Study,10.1000/sample.36,PMC9535203,82248455.0,no-cc,The implications for public health are discussed. Results show significant findings regarding SARS-CoV-2. We analyzed data from multiple sources.,2020-01-25,"Author 36, Co-Author 36",Journal of Virology,,WHO-9715,,,document_parses/pmc_json/36.json,https://example.com/paper/36
cord-000037,sha000037,bioRxiv,Antiviral Covid-19 Immunity Treatment Study,,PMC4563416,52402900.0,no-cc,Further research is needed to confirm these findings. This study investigates COVID-19 related phenomena. Results show significant findings regarding SARS-CoV-2.,2020-09-17,"Author 37, Co-Author 37",Cell,,WHO-8533,,document_parses/pdf_json/37.json,document_parses/pmc_json/37.json,
cord-000038,sha000038,Elsevier,Prevention Diagnosis Study,10.1000/sample.38,PMC1069218,,,Results show significant findings regarding SARS-CoV-2. We analyzed data from multiple sources.,2020-03-10,"Author 38, Co-Author 38",PLOS ONE,2227996564.0,,,,document_parses/pmc_json/38.json,
cord-000039,sha000039,PubMed,Antiviral Symptoms Study,10.1000/sample.39,PMC4029442,39380829.0,cc-by,The implications for public health are discussed. Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2. We analyzed data from multiple sources.,2022-06-04,"Author 39, Co-Author 39",Emerging Infectious Diseases,9390892676.0,,,document_parses/pdf_json/39.json,,https://example.com/paper/39
cord-000040,sha000040,bioRxiv,Sars-Cov-2 Antiviral Treatment Study,,PMC2289085,71174364.0,no-cc,The implications for public health are discussed. Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena. Further research is needed to confirm these findings.,2021-11-23,"Author 40, Co-Author 40",Clinical Infectious Diseases,3506204532.0,,,document_parses/pdf_json/40.json,document_parses/pmc_json/40.json,
cord-000041,,Elsevier,Vaccine Transmission Sars-Cov-2 Diagnosis Immunity Study,10.1000/sample.41,,,cc-by,Results show significant findings regarding SARS-CoV-2. The implications for public health are discussed. This study investigates COVID-19 related phenomena.,2021-08-01,"Author 41, Co-Author 41",Emerging Infectious Diseases,,,2020.6952,document_parses/pdf_json/41.json,document_parses/pmc_json/41.json,https://example.com/paper/41
cord-000042,,bioRxiv,Infection Covid-19 Study,10.1000/sample.42,PMC2582179,,cc-by-nc,The implications for public health are discussed. Results show significant findings regarding SARS-CoV-2.,2020-07-19,"Author 42, Co-Author 42",Virology Journal,9336353877.0,,,,,https://example.com/paper/42
cord-000043,,arXiv,Antibody Prevention Vaccine Infection Immunity Study,10.1000/sample.43,PMC1435572,14609555.0,,This study investigates COVID-19 related phenomena. We analyzed data from multiple sources. The implications for public health are discussed. Results show significant findings regarding SARS-CoV-2.,2020-06-18,"Author 43, Co-Author 43",Journal of Virology,2326914126.0,,,,,https://example.com/paper/43
cord-000044,,PMC,Prevention Epidemiology Antiviral Study,,,51458705.0,cc-by-nc,Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2.,2020-09-09,,Science,5534783423.0,WHO-2346,,document_parses/pdf_json/44.json,document_parses/pmc_json/44.json,https://example.com/paper/44
cord-000045,,PubMed,Vaccine Epidemiology Study,10.1000/sample.45,PMC3046668,26571059.0,cc-by-nc,Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena. Further research is needed to confirm these findings.,2021-08-27,"Author 45, Co-Author 45",Cell,8603466029.0,WHO-9972,,,document_parses/pmc_json/45.json,
cord-000046,,bioRxiv,Clinical Antibody Antiviral Study,,,,no-cc,Results show significant findings regarding SARS-CoV-2. The implications for public health are discussed. We analyzed data from multiple sources. This study investigates COVID-19 related phenomena.,2021-06-04,"Author 46, Co-Author 46",Antiviral Research,,,,,document_parses/pmc_json/46.json,
cord-000047,,Elsevier,Antibody Treatment Therapy Antiviral Symptoms Study,,PMC2779557,87037211.0,,Results show significant findings regarding SARS-CoV-2. Further research is needed to confirm these findings. The implications for public health are discussed. This study investigates COVID-19 related phenomena.,,"Author 47, Co-Author 47",Journal of Medical Virology,1077618551.0,WHO-7365,,,,https://example.com/paper/47
cord-000048,sha000048,Elsevier,Clinical Immunity Symptoms Diagnosis Study,10.1000/sample.48,PMC3579924,38951443.0,cc-by,The implications for public health are discussed. Further research is needed to confirm these findings.,2022-01-16,"Author 48, Co-Author 48",Journal of Virology,5818875650.0,,,,,https://example.com/paper/48
cord-000049,sha000049,arXiv,Infection Transmission Symptoms Antiviral Vaccine Study,10.1000/sample.49,,60560976.0,cc-by-nc,Further research is needed to confirm these findings. This study investigates COVID-19 related phenomena. The implications for public health are discussed.,2019-02-10,,,8825222689.0,,,,document_parses/pmc_json/49.json,https://example.com/paper/49
cord-000050,sha000050,PubMed,Diagnosis Clinical Infection Study,10.1000/sample.50,PMC9050632,,,We analyzed data from multiple sources. Further research is needed to confirm these findings. This study investigates COVID-19 related phenomena. Results show significant findings regarding SARS-CoV-2.,2020-04-10,"Author 50, Co-Author 50",Antiviral Research,1516458035.0,WHO-9438,,,,https://example.com/paper/50
cord-000051,,bioRxiv,Antibody Antiviral Immunity Symptoms Outbreak Study,10.1000/sample.51,PMC5518413,30495346.0,no-cc,This study investigates COVID-19 related phenomena. The implications for public health are discussed.,2021-01-23,"Author 51, Co-Author 51",medRxiv,,,,,document_parses/pmc_json/51.json,
cord-000052,,Elsevier,Diagnosis Pandemic Outbreak Therapy Study,10.1000/sample.52,PMC1097397,38268009.0,cc-by-nc,Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena.,2021-01-09,,Antiviral Research,6501214550.0,,,,,https://example.com/paper/52
cord-000053,sha000053,PMC,Immunity Vaccine Diagnosis Covid-19 Epidemiology Study,10.1000/sample.53,,40208616.0,cc-by,We analyzed data from multiple sources. This study investigates COVID-19 related phenomena. Further research is needed to confirm these findings.,2019-02-04,"Author 53, Co-Author 53",BMJ,,,,,,https://example.com/paper/53
cord-000054,sha000054,medRxiv,Immunity Therapy Study,10.1000/sample.54,,17055329.0,cc-by-nc,We analyzed data from multiple sources. Results show significant findings regarding SARS-CoV-2. The implications for public health are discussed.,2021-04-16,,BMJ,,WHO-5002,,,,https://example.com/paper/54
cord-000055,sha000055,bioRxiv,Antiviral Infection Epidemiology Prevention Study,,PMC8601790,34027688.0,,,2021-01-05,"Author 55, Co-Author 55",PLOS ONE,4849412401.0,WHO-2351,,,,https://example.com/paper/55
cord-000056,,PMC,Clinical Symptoms Vaccine Sars-Cov-2 Study,,,62587561.0,cc-by,This study investigates COVID-19 related phenomena. Further research is needed to confirm these findings. The implications for public health are discussed.,2020-06-25,,Nature,,WHO-9575,,,document_parses/pmc_json/56.json,
cord-000057,sha000057,Elsevier,Transmission Sars-Cov-2 Clinical Study,10.1000/sample.57,PMC3169632,,no-cc,We analyzed data from multiple sources. Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena. The implications for public health are discussed.,2020-06-26,"Author 57, Co-Author 57",PLOS ONE,8720248706.0,WHO-6215,,document_parses/pdf_json/57.json,,https://example.com/paper/57
cord-000058,,PMC,Sars-Cov-2 Pandemic Prevention Study,10.1000/sample.58,,31366552.0,,Further research is needed to confirm these findings. We analyzed data from multiple sources. Results show significant findings regarding SARS-CoV-2.,2020-09-07,"Author 58, Co-Author 58",BMJ,,,,,,https://example.com/paper/58
cord-000059,sha000059,PubMed,Antiviral Pandemic Vaccine Covid-19 Study,10.1000/sample.59,,83543652.0,cc-by-nc,This study investigates COVID-19 related phenomena. Results show significant findings regarding SARS-CoV-2.,2020-09-11,"Author 59, Co-Author 59",PLOS ONE,8210015775.0,,,document_parses/pdf_json/59.json,,
cord-000060,sha000060,bioRxiv,Prevention Antiviral Epidemiology Study,,PMC6421907,66698597.0,no-cc,This study investigates COVID-19 related phenomena. Results show significant findings regarding SARS-CoV-2. We analyzed data from multiple sources.,2020-07-28,,Vaccine,,,2020.3998,,document_parses/pmc_json/60.json,https://example.com/paper/60
cord-000061,sha000061,bioRxiv,Diagnosis Antibody Clinical Study,10.1000/sample.61,PMC2186553,56748995.0,no-cc,This study investigates COVID-19 related phenomena. The implications for public health are discussed. Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2.,2021-11-19,"Author 61, Co-Author 61",Cell,,,,,document_parses/pmc_json/61.json,https://example.com/paper/61
cord-000062,sha000062,Elsevier,Coronavirus Transmission Study,10.1000/sample.62,PMC7398678,62487600.0,no-cc,This study investigates COVID-19 related phenomena. We analyzed data from multiple sources.,2021-04-22,"Author 62, Co-Author 62",Journal of Medical Virology,9698662000.0,,,,,
cord-000063,sha000063,arXiv,Treatment Prevention Study,10.1000/sample.63,,,,This study investigates COVID-19 related phenomena. We analyzed data from multiple sources. Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2.,2020-12-14,"Author 63, Co-Author 63",New England Journal of Medicine,8716478411.0,,,document_parses/pdf_json/63.json,document_parses/pmc_json/63.json,https://example.com/paper/63
cord-000064,sha000064,PubMed,Sars-Cov-2 Outbreak Antiviral Study,10.1000/sample.64,,47898265.0,,This study investigates COVID-19 related phenomena. We analyzed data from multiple sources. The implications for public health are discussed.,2019-04-17,"Author 64, Co-Author 64",PLOS ONE,4523401307.0,,,document_parses/pdf_json/64.json,,
cord-000065,sha000065,PMC,Diagnosis Sars-Cov-2 Covid-19 Study,,,36184828.0,no-cc,We analyzed data from multiple sources. Further research is needed to confirm these findings. The implications for public health are discussed. This study investigates COVID-19 related phenomena.,2020-12-27,"Author 65, Co-Author 65",Emerging Infectious Diseases,,WHO-3458,,,,https://example.com/paper/65
cord-000066,,Elsevier,Pandemic Antibody Diagnosis Transmission Study,10.1000/sample.66,PMC7692721,83552661.0,no-cc,We analyzed data from multiple sources. Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena.,2019-06-12,,Journal of Medical Virology,,WHO-4098,,document_parses/pdf_json/66.json,document_parses/pmc_json/66.json,https://example.com/paper/66
cord-000067,,PubMed,Vaccine Epidemiology Therapy Clinical Pandemic Study,10.1000/sample.67,,27569192.0,cc-by-nc,We analyzed data from multiple sources. Further research is needed to confirm these findings. The implications for public health are discussed.,2021-02-26,"Author 67, Co-Author 67",BMJ,,,,,,https://example.com/paper/67
cord-000068,sha000068,PMC,Antibody Treatment Study,10.1000/sample.68,PMC3733691,87897778.0,cc-by,Results show significant findings regarding SARS-CoV-2. Further research is needed to confirm these findings.,2021-11-17,"Author 68, Co-Author 68",International Journal of Infectious Diseases,6686166474.0,WHO-1197,,,,https://example.com/paper/68
cord-000069,,Elsevier,Symptoms Treatment Covid-19 Immunity Epidemiology Study,10.1000/sample.69,,17264306.0,no-cc,This study investigates COVID-19 related phenomena. The implications for public health are discussed. We analyzed data from multiple sources.,2019-10-29,"Author 69, Co-Author 69",The Lancet,,,,,document_parses/pmc_json/69.json,
cord-000070,,medRxiv,Infection Treatment Outbreak Prevention Study,,PMC3585950,50812122.0,cc-by,Further research is needed to confirm these findings. The implications for public health are discussed. Results show significant findings regarding SARS-CoV-2.,2021-08-02,"Author 70, Co-Author 70",Antiviral Research,,,,,,https://example.com/paper/70
cord-000071,sha000071,WHO,Epidemiology Antibody Coronavirus Infection Clinical Study,10.1000/sample.71,,31970699.0,,This study investigates COVID-19 related phenomena. The implications for public health are discussed.,2020-01-07,,medRxiv,,,,,,
cord-000072,sha000072,arXiv,Treatment Vaccine Study,10.1000/sample.72,PMC8253770,69308631.0,,We analyzed data from multiple sources. The implications for public health are discussed. Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2.,2021-04-21,"Author 72, Co-Author 72",Journal of Virology,8302586695.0,,,,,
cord-000073,sha000073,PMC,Antibody Transmission Covid-19 Vaccine Infection Study,10.1000/sample.73,PMC6202636,49068306.0,no-cc,Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena. The implications for public health are discussed.,2021-12-24,"Author 73, Co-Author 73",Nature,8789659355.0,,,,document_parses/pmc_json/73.json,
cord-000074,sha000074,medRxiv,Therapy Symptoms Antibody Study,10.1000/sample.74,PMC3202624,38154362.0,no-cc,Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena. The implications for public health are discussed.,2020-11-05,"Author 74, Co-Author 74",Virology Journal,1270075327.0,,,document_parses/pdf_json/74.json,,
cord-000075,sha000075,PMC,Covid-19 Symptoms Immunity Antiviral Study,10.1000/sample.75,,,cc-by,We analyzed data from multiple sources. The implications for public health are discussed. This study investigates COVID-19 related phenomena. Further research is needed to confirm these findings.,2021-02-16,"Author 75, Co-Author 75",medRxiv,6873314716.0,,,document_parses/pdf_json/75.json,,
cord-000076,sha000076,WHO,Sars-Cov-2 Pandemic Therapy Study,10.1000/sample.76,,97407684.0,cc-by,Further research is needed to confirm these findings. The implications for public health are discussed. Results show significant findings regarding SARS-CoV-2.,2020-02-15,"Author 76, Co-Author 76",The Lancet,1195980587.0,,,document_parses/pdf_json/76.json,,
cord-000077,sha000077,WHO,Treatment Outbreak Diagnosis Immunity Study,10.1000/sample.77,,,,Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena.,2021-03-22,,Antiviral Research,,,,,document_parses/pmc_json/77.json,
cord-000078,,bioRxiv,Diagnosis Immunity Study,10.1000/sample.78,,87266743.0,cc-by-nc,We analyzed data from multiple sources. The implications for public health are discussed.,2021-08-18,,Antiviral Research,,,,,,
cord-000079,,PubMed,Transmission Vaccine Antiviral Study,10.1000/sample.79,PMC7511061,,,This study investigates COVID-19 related phenomena. We analyzed data from multiple sources. The implications for public health are discussed.,2021-08-09,,,1549857034.0,WHO-5478,,,,https://example.com/paper/79
cord-000080,sha000080,arXiv,Therapy Immunity Prevention Study,,PMC8097946,29811269.0,cc-by-nc,Further research is needed to confirm these findings. We analyzed data from multiple sources. This study investigates COVID-19 related phenomena.,2021-02-05,"Author 80, Co-Author 80",Antiviral Research,,WHO-8076,,,document_parses/pmc_json/80.json,
cord-000081,,arXiv,Clinical Infection Transmission Antibody Outbreak Study,,,67325876.0,no-cc,The implications for public health are discussed. Further research is needed to confirm these findings. Results show significant findings regarding SARS-CoV-2. We analyzed data from multiple sources.,2021-09-23,,,,,,,document_parses/pmc_json/81.json,https://example.com/paper/81
cord-000082,sha000082,PMC,Epidemiology Therapy Study,,PMC7177975,32578497.0,cc-by-nc,Results show significant findings regarding SARS-CoV-2. Further research is needed to confirm these findings.,2020-08-24,"Author 82, Co-Author 82",,5060303335.0,,,,,
cord-000083,sha000083,WHO,Coronavirus Pandemic Sars-Cov-2 Prevention Study,10.1000/sample.83,PMC8283088,22891308.0,no-cc,The implications for public health are discussed. Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena.,2020-06-03,,Antiviral Research,,,,,,https://example.com/paper/83
cord-000084,sha000084,arXiv,Clinical Vaccine Treatment Study,10.1000/sample.84,PMC2559399,73602527.0,,Further research is needed to confirm these findings. This study investigates COVID-19 related phenomena.,2021-07-18,"Author 84, Co-Author 84",medRxiv,,,,,,https://example.com/paper/84
cord-000085,,Elsevier,Epidemiology Therapy Pandemic Antibody Study,10.1000/sample.85,,,no-cc,Further research is needed to confirm these findings. The implications for public health are discussed. Results show significant findings regarding SARS-CoV-2.,2020-01-28,"Author 85, Co-Author 85",BMJ,,,,,,
cord-000086,sha000086,arXiv,Antiviral Coronavirus Therapy Study,,,,cc-by,,2021-10-15,"Author 86, Co-Author 86",Clinical Infectious Diseases,4944811666.0,,,,,
cord-000087,sha000087,PMC,Therapy Vaccine Study,10.1000/sample.87,PMC4761958,97254650.0,no-cc,Further research is needed to confirm these findings. We analyzed data from multiple sources. Results show significant findings regarding SARS-CoV-2.,2021-08-25,"Author 87, Co-Author 87",bioRxiv,5667961988.0,,2020.1394,,document_parses/pmc_json/87.json,https://example.com/paper/87
cord-000088,,medRxiv,Therapy Sars-Cov-2 Clinical Antibody Outbreak Study,,PMC3601637,68226527.0,cc-by,Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena.,2020-01-21,,New England Journal of Medicine,4901690532.0,,,document_parses/pdf_json/88.json,,https://example.com/paper/88
cord-000089,,bioRxiv,Covid-19 Outbreak Symptoms Prevention Study,10.1000/sample.89,PMC9846268,94150830.0,,We analyzed data from multiple sources. Results show significant findings regarding SARS-CoV-2. Further research is needed to confirm these findings.,2022-03-15,"Author 89, Co-Author 89",,,,,document_parses/pdf_json/89.json,,https://example.com/paper/89
cord-000090,,bioRxiv,Infection Coronavirus Study,10.1000/sample.90,PMC9802632,42883478.0,cc-by,This study investigates COVID-19 related phenomena. We analyzed data from multiple sources. Further research is needed to confirm these findings.,2021-12-17,"Author 90, Co-Author 90",The Lancet,,WHO-9306,2020.6286,,,https://example.com/paper/90
cord-000091,sha000091,medRxiv,Prevention Immunity Study,10.1000/sample.91,,,cc-by-nc,Results show significant findings regarding SARS-CoV-2. This study investigates COVID-19 related phenomena. The implications for public health are discussed.,2020-08-17,,Emerging Infectious Diseases,8625995551.0,,,document_parses/pdf_json/91.json,,https://example.com/paper/91
